Size	P1	P2	P3	P4
1000	137629.94	118972.98	77434.67	211550.86
2000	146281.44	140151.19	100513.52	185233.28
3000	118005.08	87586.58	60904.03	124339.87
4000	162542.38	118902.48	81043.74	102953.6
5000	266024.97	181005.48	133747.73	157621.64
6000	339575.56	218820.1	158060.62	194769.84
7000	407435.0	259628.48	185323.23	223204.86
8000	404726.88	248924.78	180393.66	218448.05
9000	460766.6	284942.88	206563.08	245019.52
10000	567269.4	334520.8	237621.66	283615.25
11000	784892.25	467044.9	329444.94	383860.8
12000	715308.6	403783.7	283752.75	349369.53
13000	769438.9	427886.75	292986.03	360870.16
14000	1026276.3	569522.5	387203.56	455738.25
15000	1167374.4	638854.1	432216.97	509209.12
16000	915822.56	491592.38	332514.47	390368.3
17000	1064716.9	565123.56	408847.28	440707.97
18000	884168.2	475865.62	310493.47	361896.25
19000	1238722.9	662735.2	429826.16	500326.7
20000	1364471.4	714354.75	459537.75	541741.56
21000	1394026.1	721091.44	464677.16	543659.8
22000	1641240.6	835268.9	521333.84	618181.94
23000	1787386.4	909300.8	563216.0	672114.75
24000	1812605.5	900250.94	551043.6	655550.5
25000	1894617.1	944083.06	579200.06	691540.4
26000	2057709.6	1003500.8	606871.75	717935.5
27000	2336598.0	1136601.4	670143.6	794927.75
28000	2027624.5	988911.25	586270.06	686330.5
29000	2451426.2	1159399.9	673604.56	796770.2
30000	2100886.0	984376.56	567034.8	667643.56
31000	2672853.8	1240443.6	701055.75	851149.06
32000	2142223.2	976201.1	557604.06	678163.8
33000	2266700.5	1051409.1	585247.5	679315.2
34000	2787967.2	1253478.1	688897.5	834235.75
35000	3161331.0	1421981.5	783333.7	913405.4
36000	3182068.2	1394459.9	754279.75	882200.5
37000	2888438.8	1267755.6	676765.75	807570.8
38000	3553280.8	1554131.9	835603.94	972153.1
39000	4004357.0	1720729.2	915260.06	1111604.4
40000	3686238.5	1608773.5	829951.5	998973.1
41000	3339319.8	1436394.8	748200.75	878469.75
42000	4133263.8	1765730.2	916162.8	1086848.9
43000	4302978.0	1871982.8	963365.94	1143488.0
44000	4223759.5	1815879.5	931334.2	1087303.9
45000	3984542.0	1691351.0	826926.0	1035047.7
46000	4068475.5	1721871.9	847338.94	1011915.94
47000	6039129.0	2600306.5	1240662.2	1487991.4
48000	6120301.5	2586931.8	1280326.4	1493121.9
49000	6450473.0	2730210.5	1318945.0	1556111.9
50000	6665870.5	2748539.5	1316781.8	1566990.1
